"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"1",2018-02-08 00:00:00,23,15,52,16.7,NA,"North",30,1020,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"2",2018-02-08 00:00:00,23,15,61,16.7,NA,"North",NA,1020,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"3",2018-02-08 00:30:00,22,15,64,13,NA,"NNW",NA,1020,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"4",2018-02-08 01:00:00,22,15,56,11.1,NA,"NNW",NA,1020,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"5",2018-02-08 01:00:00,22,15,64,11.1,NA,"NNW",NA,1020,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"6",2018-02-08 01:30:00,22,15,64,13,NA,"North",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"7",2018-02-08 02:00:00,22,16,60,11.1,NA,"NNW",NA,1020,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"8",2018-02-08 02:00:00,22,16,69,11.1,NA,"NNW",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"9",2018-02-08 02:30:00,22,15,64,11.1,NA,"NNW",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"10",2018-02-08 03:00:00,21,15,62,9.3,NA,"NW",30,1019,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"11",2018-02-08 03:00:00,21,15,68,9.3,NA,"NW",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"12",2018-02-08 03:30:00,21,15,68,9.3,NA,"North",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"13",2018-02-08 04:00:00,21,15,62,9.3,NA,"NNW",NA,1019,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"14",2018-02-08 04:00:00,21,15,68,9.3,NA,"NNW",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"15",2018-02-08 04:30:00,21,16,73,9.3,NA,"NW",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"16",2018-02-08 05:00:00,21,16,62,11.1,NA,"North",NA,1019,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"17",2018-02-08 05:00:00,21,16,73,11.1,NA,"North",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"18",2018-02-08 05:30:00,21,16,73,11.1,NA,"NW",10,1019,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"19",2018-02-08 06:00:00,21,16,66,13,NA,"NW",30,1020,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"20",2018-02-08 06:30:00,21,15,68,13,NA,"WNW",10,1020,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"21",2018-02-08 07:00:00,22,15,55,11.1,NA,"NW",NA,1020,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"22",2018-02-08 07:00:00,22,15,64,11.1,NA,"NW",10,1020,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"23",2018-02-08 07:30:00,22,15,64,13,NA,"NW",10,1020,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"24",2018-02-08 08:00:00,24,15,49,13,NA,"North",NA,1020,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"25",2018-02-08 08:00:00,24,15,57,13,NA,"North",NA,1020,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"26",2018-02-08 08:30:00,24,15,57,13,NA,"NW",NA,1020,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"27",2018-02-08 09:00:00,25,14,37,18.5,NA,"North",30,1020,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"28",2018-02-08 09:00:00,25,14,50,18.5,NA,"North",NA,1020,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"29",2018-02-08 09:30:00,26,13,44,24.1,NA,"North",NA,1020,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"30",2018-02-08 10:00:00,27,12,29,22.2,NA,"North",NA,1020,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"31",2018-02-08 10:00:00,27,12,39,22.2,NA,"North",NA,1019,NA,26.8,NA,NA,NA,"Clear",0,0,0,0,0,0
"32",2018-02-08 10:30:00,27,11,37,25.9,NA,"NNE",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"33",2018-02-08 11:00:00,29,11,23,22.2,NA,"NNE",NA,1019,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"34",2018-02-08 11:00:00,29,11,33,22.2,NA,"NNE",NA,1019,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"35",2018-02-08 12:00:00,28,13,29,25.9,NA,"NNE",30,1019,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"36",2018-02-08 12:00:00,28,13,39,25.9,NA,"NNE",NA,1018,NA,27.6,NA,NA,NA,"Clear",0,0,0,0,0,0
"37",2018-02-08 12:30:00,29,14,40,27.8,NA,"NE",NA,1018,NA,28.6,NA,NA,NA,"Clear",0,0,0,0,0,0
"38",2018-02-08 13:00:00,29,12,24,31.5,NA,"NE",NA,1018,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"39",2018-02-08 13:00:00,29,12,35,31.5,NA,"NE",NA,1017,NA,28.2,NA,NA,NA,"Clear",0,0,0,0,0,0
"40",2018-02-08 13:30:00,30,13,35,33.3,NA,"NE",NA,1016,NA,29.2,NA,NA,NA,"Clear",0,0,0,0,0,0
"41",2018-02-08 14:00:00,30,13,26,35.2,NA,"NNE",NA,1016,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"42",2018-02-08 14:00:00,30,13,35,35.2,NA,"NNE",NA,1016,NA,29.2,NA,NA,NA,"Clear",0,0,0,0,0,0
"43",2018-02-08 14:30:00,29,14,40,35.2,NA,"NNE",NA,1015,NA,28.6,NA,NA,NA,"Clear",0,0,0,0,0,0
"44",2018-02-08 15:00:00,28,15,35,38.9,NA,"NNE",30,1015,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"45",2018-02-08 15:00:00,28,15,45,38.9,NA,"NNE",NA,1015,NA,28,NA,NA,NA,"Clear",0,0,0,0,0,0
"46",2018-02-08 15:30:00,29,14,40,42.6,NA,"NE",NA,1014,NA,28.6,NA,NA,NA,"Clear",0,0,0,0,0,0
"47",2018-02-08 16:00:00,29,15,31,42.6,NA,"NE",NA,1014,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"48",2018-02-08 16:00:00,29,15,42,42.6,NA,"NE",NA,1014,NA,28.8,NA,NA,NA,"Clear",0,0,0,0,0,0
"49",2018-02-08 16:30:00,28,16,48,42.6,NA,"NE",NA,1014,NA,28.3,NA,NA,NA,"Clear",0,0,0,0,0,0
"50",2018-02-08 17:00:00,28,16,37,42.6,NA,"NE",NA,1014,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"51",2018-02-08 17:00:00,28,16,48,42.6,NA,"NE",NA,1013,NA,28.3,NA,NA,NA,"Clear",0,0,0,0,0,0
"52",2018-02-08 17:30:00,28,17,51,38.9,NA,"NE",NA,1013,NA,28.5,NA,NA,NA,"Clear",0,0,0,0,0,0
"53",2018-02-08 17:36:00,28,16,48,38.9,57.4,"NE",NA,1013,NA,28.3,NA,NA,NA,"Clear",0,0,0,0,0,0
"54",2018-02-08 18:00:00,27,17,44,38.9,NA,"NNE",30,1013,NA,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"55",2018-02-08 18:00:00,27,17,54,38.9,57.4,"NNE",NA,1013,NA,27.7,NA,NA,NA,"Clear",0,0,0,0,0,0
"56",2018-02-08 18:30:00,28,17,51,44.4,NA,"NNE",NA,1013,NA,28.5,NA,NA,NA,"Clear",0,0,0,0,0,0
"57",2018-02-08 19:00:00,26,17,47,42.6,NA,"NNE",NA,1013,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"58",2018-02-08 19:00:00,26,17,57,42.6,NA,"NNE",NA,1013,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"59",2018-02-08 19:30:00,25,17,61,42.6,NA,"NNE",NA,1013,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"60",2018-02-08 20:00:00,25,18,57,37,NA,"NNE",NA,1014,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"61",2018-02-08 20:00:00,25,18,65,37,NA,"NNE",NA,1013,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"62",2018-02-08 20:30:00,25,18,65,35.2,NA,"NNE",NA,1013,NA,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
